Date,Open,High,Low,Close,Adj Close,Volume
2019-01-08,36.672501,36.695000,34.224998,34.957500,34.701351,78601600
2019-01-09,35.474998,36.122501,34.965000,35.645000,35.383820,61726000
2019-01-10,35.450001,36.395000,34.840000,36.307499,36.041462,52315600
2019-01-11,36.082500,37.437500,35.802502,37.207500,36.934868,87476400
2019-01-14,36.680000,37.865002,36.442501,37.610001,37.334419,73016800
2019-01-15,37.939999,38.337502,37.282501,37.467499,37.192963,61701200
2019-01-16,37.742500,38.075001,37.154999,37.209999,36.937351,47010400
2019-01-17,36.877499,38.332500,36.602501,37.930000,37.652077,49343600
2019-01-18,38.432499,39.494999,37.912498,39.232498,38.945030,65133600
2019-01-22,38.927502,39.044998,36.887501,37.192501,36.919979,66155200
2019-01-23,37.750000,38.645000,37.007500,37.322498,37.049019,59102000
2019-01-24,38.174999,39.637501,38.127499,39.459999,39.170868,70897200
2019-01-25,38.860001,40.220001,37.825001,40.037498,39.744137,115457200
2019-01-28,34.137501,35.410000,32.750000,34.502499,34.249699,251152800
2019-01-29,34.037498,34.525002,32.752499,32.900002,32.658936,115393200
2019-01-30,33.667500,34.492500,32.865002,34.347500,34.095833,97422800
2019-01-31,34.314999,36.297501,34.095001,35.937500,35.674179,84285200
2019-02-01,36.125000,36.697498,35.645000,36.182499,35.917381,62504800
2019-02-04,36.342499,37.669998,36.119999,37.294998,37.021721,52859200
2019-02-05,37.415001,37.857498,37.075001,37.487499,37.212818,54242400
2019-02-06,37.822498,38.900002,37.767502,38.250000,37.969727,70246400
2019-02-07,37.782501,37.805000,36.422501,36.855000,36.584965,63712000
2019-02-08,36.177502,37.150002,36.032501,37.042500,36.771088,46160400
2019-02-11,36.597500,37.145000,36.125000,36.612499,36.344227,49518000
2019-02-12,37.000000,37.950001,36.855000,37.792500,37.515583,59106000
2019-02-13,38.090000,38.957500,37.952499,38.220001,37.939949,60537200
2019-02-14,38.209999,38.917500,37.775002,38.632500,38.349438,82726400
2019-02-15,40.737499,40.967499,39.105000,39.334999,39.046780,151674800
2019-02-19,39.227501,39.972500,39.035000,39.160000,38.873066,55189200
2019-02-20,39.455002,40.314999,39.342499,39.637501,39.347073,54098800
2019-02-21,39.764999,40.012501,38.794998,38.942501,38.657158,44854800
2019-02-22,39.465000,39.987499,39.327499,39.797501,39.505890,40174000
2019-02-25,40.639999,41.320000,39.584999,39.672501,39.381802,65602000
2019-02-26,39.625000,40.189999,38.937500,39.275002,38.987221,48846400
2019-02-27,39.130001,39.397499,38.277500,38.852501,38.567814,50025600
2019-02-28,38.750000,38.974998,38.340000,38.564999,38.321880,32494400
2019-03-01,39.067501,39.537498,38.480000,39.112499,38.865932,35718800
2019-03-04,39.500000,39.730000,38.625000,39.195000,38.947899,40999200
2019-03-05,39.037498,39.514999,38.490002,39.130001,38.883324,36292400
2019-03-06,39.040001,39.125000,37.985001,38.012501,37.772861,40352400
2019-03-07,37.775002,37.872501,36.849998,37.314999,37.079762,45010400
2019-03-08,36.415001,37.767502,36.200001,37.660000,37.422577,42241600
2019-03-11,37.897499,40.514999,37.422501,40.285000,40.031036,85972800
2019-03-12,40.564999,41.097500,39.797501,40.630001,40.373863,57957600
2019-03-13,41.007500,42.450001,40.932499,42.154999,41.889252,76890000
2019-03-14,42.247501,42.367500,41.312500,41.389999,41.129063,51938400
2019-03-15,41.825001,42.882500,41.790001,42.452499,42.184872,66148400
2019-03-18,42.770000,43.312500,41.965000,42.237499,41.971230,48699200
2019-03-19,43.189999,44.375000,43.020000,43.927502,43.650578,85497200
2019-03-20,44.220001,44.757500,43.250000,43.599998,43.325134,71914800
2019-03-21,43.832500,46.250000,43.782501,45.985001,45.695103,82431200
2019-03-22,45.709999,46.200001,44.235001,44.375000,44.095253,74764400
2019-03-25,43.965000,44.612499,42.777500,43.445000,43.171116,52521200
2019-03-26,44.872501,45.437500,43.650002,44.217499,43.938740,70350800
2019-03-27,44.474998,44.942501,43.424999,44.125000,43.846836,47437200
2019-03-28,44.387501,44.974998,43.777500,44.312500,44.033146,48026400
2019-03-29,44.985001,45.134998,44.477501,44.889999,44.606998,45689600
2019-04-01,45.814999,45.875000,45.092499,45.570000,45.282719,48382400
2019-04-02,45.812500,46.197498,45.380001,45.750000,45.461586,44092000
2019-04-03,46.250000,47.750000,46.200001,47.154999,46.857723,78350400
2019-04-04,47.000000,47.492500,46.432499,47.064999,46.768288,45737600
2019-04-05,47.500000,47.912498,47.132500,47.737499,47.436554,48174400
2019-04-08,47.430000,48.200001,47.187500,47.947498,47.645226,42419200
2019-04-09,47.610001,47.722500,46.889999,47.314999,47.016720,43997200
2019-04-10,47.307499,48.285000,47.262501,48.025002,47.722244,44477200
2019-04-11,48.049999,48.367500,47.387501,47.884998,47.583126,37460000
2019-04-12,48.275002,48.314999,47.415001,47.502499,47.203041,47170800
2019-04-15,47.424999,47.474998,45.775002,46.174999,45.883900,44009200
2019-04-16,46.570000,47.242500,46.240002,47.052502,46.755878,39496400
2019-04-17,47.404999,47.615002,46.597500,46.822498,46.527321,35100400
2019-04-18,46.889999,47.232498,46.294998,46.575001,46.281387,38098800
2019-04-22,46.337502,47.275002,46.020000,47.117500,46.820461,27993600
2019-04-23,47.250000,47.982498,47.152500,47.667500,47.366997,34685600
2019-04-24,47.772499,48.202499,47.160000,47.792500,47.491203,31820400
2019-04-25,47.387501,47.612499,45.924999,46.727501,46.432919,49929600
2019-04-26,45.177502,45.222500,43.325001,44.522499,44.241817,86898800
2019-04-29,44.602501,45.112499,43.875000,44.832500,44.549866,39192000
2019-04-30,44.507500,45.507500,44.314999,45.250000,44.964737,36292000
2019-05-01,45.777500,46.202499,45.115002,45.117500,44.833069,35428000
2019-05-02,45.215000,46.217499,44.779999,45.797501,45.508781,39468400
2019-05-03,45.882500,45.982498,45.132500,45.752499,45.464073,33682400
2019-05-06,43.875000,45.084999,43.500000,44.962502,44.679047,42217600
2019-05-07,44.474998,44.474998,42.792500,43.277500,43.004677,55522000
2019-05-08,43.000000,44.287498,42.880001,43.480000,43.205887,41916800
2019-05-09,42.785000,42.882500,41.349998,42.547501,42.279266,66024800
2019-05-10,42.237499,42.897499,41.000000,42.205002,41.938934,56950000
2019-05-13,40.875000,41.107498,39.452499,39.612499,39.362774,65691200
2019-05-14,40.012501,40.865002,39.622501,40.509998,40.254616,52488000
2019-05-15,39.950001,40.262501,39.352501,39.895000,39.643505,50232000
2019-05-16,39.840000,40.477501,39.412498,40.047501,39.795033,78108800
2019-05-17,39.625000,40.927502,38.735001,39.132500,38.885799,102206800
2019-05-20,38.137501,38.692501,37.687500,37.937500,37.698338,57206400
2019-05-21,38.549999,38.924999,38.160000,38.764999,38.520611,36184800
2019-05-22,38.375000,38.637501,37.939999,38.049999,37.810131,32586800
2019-05-23,37.422501,37.422501,36.227501,36.830002,36.597820,59184400
2019-05-24,37.020000,37.375000,36.220001,36.287498,36.058739,35758400
2019-05-28,36.465000,36.794998,35.812500,35.832500,35.606606,42835600
2019-05-29,35.352501,35.705002,34.735001,35.084999,34.863811,55980000
2019-05-30,35.077499,35.437500,34.392502,34.777500,34.597706,39430000
2019-05-31,34.285000,34.962502,33.847500,33.865002,33.689922,38972000
2019-06-03,33.977501,34.367500,33.150002,33.445000,33.272083,47864400
2019-06-04,34.090000,35.802502,33.867500,35.750000,35.565186,64183600
2019-06-05,36.492500,36.547501,34.955002,35.320000,35.137402,51161600
2019-06-06,35.362499,36.192501,35.337502,35.945000,35.759159,40814000
2019-06-07,36.005001,36.720001,35.812500,36.375000,36.186943,34885600
2019-06-10,36.939999,37.797501,36.939999,37.107498,36.915653,40278000
2019-06-11,37.709999,38.090000,37.290001,37.687500,37.492657,38387200
2019-06-12,37.250000,37.312500,36.397499,36.549999,36.361038,35889200
2019-06-13,36.772499,37.250000,36.595001,37.064999,36.873375,30808000
2019-06-14,36.127499,36.372501,35.709999,36.160000,35.973061,39442800
2019-06-17,36.142502,36.630001,35.912498,36.257500,36.070049,27604000
2019-06-18,36.875000,38.777500,36.764999,38.220001,38.022408,58192000
2019-06-19,38.575001,38.689999,38.017502,38.279999,38.082100,33164400
2019-06-20,39.192501,39.332500,38.380001,38.525002,38.325832,35016800
2019-06-21,38.375000,38.869999,37.875000,37.939999,37.743851,43442800
2019-06-24,38.154999,38.462502,37.680000,38.165001,37.967686,28294800
2019-06-25,38.215000,38.970001,37.842499,37.869999,37.674210,31186800
2019-06-26,39.152500,40.430000,39.022499,39.814999,39.609161,58407200
2019-06-27,40.677502,41.000000,40.314999,40.807499,40.596527,44544000
2019-06-28,41.250000,41.342499,40.587502,41.057499,40.845234,39766800
2019-07-01,43.142502,43.487499,41.165001,41.542500,41.327724,70975600
2019-07-02,41.375000,41.587502,40.424999,40.557499,40.347816,40022800
2019-07-03,40.792500,40.849998,40.084999,40.687500,40.477146,24663600
2019-07-05,40.099998,40.145000,39.419998,40.057499,39.850407,39655200
2019-07-08,39.457500,39.647499,39.000000,39.302502,39.099308,32978800
2019-07-09,38.877499,39.610001,38.750000,39.327499,39.124180,34286000
2019-07-10,39.764999,40.592499,39.625000,40.014999,39.808125,45207600
2019-07-11,40.750000,41.980000,40.375000,41.570000,41.355083,68256000
2019-07-12,41.849998,42.617500,41.849998,41.902500,41.685863,50639200
2019-07-15,42.115002,42.277500,41.532501,41.817501,41.601299,28984000
2019-07-16,41.667500,42.042500,41.209999,41.770000,41.554047,34144400
2019-07-17,41.787498,42.497501,41.492500,42.427502,42.208160,34820400
2019-07-18,42.532501,43.177502,41.962502,42.544998,42.325043,44219200
2019-07-19,42.930000,42.994999,42.049999,42.110001,41.892296,34489600
2019-07-22,42.325001,42.959999,42.250000,42.830002,42.608570,31594000
2019-07-23,43.224998,43.935001,43.067501,43.915001,43.687962,42817600
2019-07-24,44.349998,44.722500,43.584999,44.665001,44.434086,36623600
2019-07-25,44.247501,44.375000,43.110001,43.345001,43.120918,39270000
2019-07-26,43.617500,44.237499,43.617500,43.767502,43.541218,27416000
2019-07-29,43.695000,43.867500,42.817501,43.705002,43.479053,24816000
2019-07-30,43.237499,43.985001,43.092499,43.862499,43.635738,19777200
2019-07-31,43.544998,43.555000,41.755001,42.180000,41.961933,35941600
2019-08-01,42.285000,43.195000,40.705002,41.230000,41.016838,42121200
2019-08-02,40.297501,40.994999,39.820000,40.297501,40.089165,42834800
2019-08-05,38.450001,38.462502,37.224998,37.697498,37.502609,58915600
2019-08-06,38.450001,38.907501,37.607498,38.087502,37.890587,36127200
2019-08-07,37.474998,38.592499,37.299999,38.472500,38.273602,37256000
2019-08-08,39.052502,39.577499,38.474998,39.564999,39.360451,30930000
2019-08-09,39.152500,39.187500,38.037498,38.544998,38.345722,34181600
2019-08-12,38.020000,38.544998,37.642502,37.862499,37.666752,27920000
2019-08-13,37.847500,39.474998,37.455002,39.012501,38.810806,35195600
2019-08-14,38.125000,38.237499,37.077499,37.517502,37.323532,41988000
2019-08-15,37.707500,37.907501,36.847500,37.192501,37.000214,47720000
2019-08-16,39.837502,40.384998,39.220001,39.889999,39.683765,100796000
2019-08-19,41.029999,42.855000,40.867500,42.695000,42.474270,81511200
2019-08-20,42.639999,42.645000,41.755001,41.967499,41.750530,46318800
2019-08-21,42.632500,43.362499,42.415001,42.807499,42.586185,42724400
2019-08-22,42.904999,43.332500,42.474998,42.869999,42.648361,30348800
2019-08-23,42.099998,42.647499,40.410000,40.610001,40.400047,56805600
2019-08-26,41.402500,41.645000,40.977501,41.362499,41.148663,31820800
2019-08-27,41.747501,41.775002,40.154999,40.450001,40.240868,29096800
2019-08-28,40.145000,40.834999,39.750000,40.305000,40.136314,25561200
2019-08-29,41.224998,42.075001,41.189999,41.750000,41.575268,35797600
2019-08-30,42.215000,42.715000,41.695000,41.877499,41.702236,29061600
